"stopno","name","lat","long"
"26106",NA,51.050274,17.059177
"23703",NA,51.137455,17.052605
"25306",NA,51.063793,17.083548
"29313",NA,51.145546,17.13747
"24704",NA,51.11418,17.11671
"24727",NA,51.1195,17.114588
"20620",NA,51.124454,17.03383
"11538",NA,51.088707,17.006742
"17517",NA,51.110985,16.89783
"25303",NA,51.069412,17.080359
"17703",NA,51.1236,16.92291
"25507",NA,51.0934,17.107279
"121012",NA,51.086372,17.046728
"16502",NA,51.072445,17.001549
"25514",NA,51.090176,17.135955
"10221",NA,51.104153,17.037401
"110601",NA,51.1173,17.031666
"20201",NA,51.104847,17.048458
"120813",NA,51.112125,17.057587
"11314",NA,51.074966,17.006367
"23123",NA,51.139626,17.033041
"23141",NA,51.135933,17.035112
"23150",NA,51.147526,17.022377
"11313",NA,51.07477,17.006338
"10015",NA,51.11284,17.029217
"11604",NA,51.096046,16.985935
"29552",NA,51.17244,17.11339
"10413",NA,51.11224,17.000492
"10013",NA,51.114468,17.035654
"10006",NA,51.10952,17.02684
"10234",NA,51.101093,17.029148
"12611",NA,51.141045,16.958885
"18505",NA,51.15299,16.940016
"12303",NA,51.125675,16.983047
"12904",NA,51.12338,16.95016
"11202",NA,51.097813,17.025553
"24112",NA,51.132507,17.062601
"10233",NA,51.10124,17.029217
"10401",NA,51.11212,17.020308
"11216",NA,51.07333,17.006498
"21024",NA,51.080013,17.050518
"17511",NA,51.106533,16.899647
"23146",NA,51.141148,17.026735
"123008",NA,51.13508,17.006086
"16704",NA,51.06396,16.979687
"20902",NA,51.117268,17.051151
"121008",NA,51.091858,17.038067
"12312",NA,51.12607,16.99696
"24132",NA,51.130405,17.078384
"17126",NA,51.07994,16.95725
"23018",NA,51.14382,17.031284
"16519",NA,51.071342,17.00585
"24303",NA,51.11988,17.077467
"50000060",NA,51.081467,17.144722
"12134",NA,51.115345,16.947655
"12504",NA,51.13192,16.960681
"20855",NA,51.110687,17.061981
"23147",NA,51.137676,17.03062
"11747",NA,51.08205,16.989494
"110104",NA,51.111828,17.027184
"16410",NA,51.06572,16.987377
"23009",NA,51.137127,17.029823
"21118",NA,51.083885,17.035254
"23163",NA,51.146294,17.041742
"16522",NA,51.07077,17.011513
"20901",NA,51.116543,17.052225
"25109",NA,51.081,17.078905
"11532",NA,51.096985,17.015991
"20681",NA,51.122894,17.031458
"10414",NA,51.112522,17.001144
"21139",NA,51.077095,17.049452
"20316",NA,51.09672,17.057083
"716103",NA,51.018566,16.889423
"17501",NA,51.10936,16.939087
"26305",NA,51.06175,17.032341
"26310",NA,51.050728,17.030434
"12158",NA,51.10243,16.972425
"120825",NA,51.113567,17.067432
"29317",NA,51.142853,17.133976
"18128",NA,51.156208,16.89139
"20264",NA,51.100304,17.045437
"23313",NA,51.14804,16.988672
"18003",NA,51.1404,16.91725
"18514",NA,51.163467,16.91934
"26345",NA,51.047306,17.01558
"20629",NA,51.12942,17.057652
"10543",NA,51.10996,17.007587
"17712",NA,51.12616,16.891226
"80362014",NA,51.106388,16.835446
"17723",NA,51.121403,16.844126
"24203",NA,51.11681,17.081823
"10240",NA,51.108406,17.026846
"120808",NA,51.1150485,17.0676145
"11602",NA,51.09774,16.992847
"20205",NA,51.0969,17.056248
"18204",NA,51.144653,16.872252
"23008",NA,51.135014,17.006594
"20823",NA,51.111725,17.0605
"18506",NA,51.153008,16.939938
"10555",NA,51.117188,17.02605
"29121",NA,51.14583,17.113783
"120818",NA,51.109882,17.0645
"20262",NA,51.103485,17.047474
"16701",NA,51.063713,16.981092
"24300",NA,51.12007,17.077494
"11302",NA,51.096348,17.023926
"11711",NA,51.094578,16.97766
"23014",NA,51.133793,17.036438
"123006",NA,51.1345,17.012024
"11744",NA,51.09033,16.992512
"20625",NA,51.122433,17.043974
"10518",NA,51.12268,17.011908
"10031",NA,51.107574,17.041956
"12143",NA,51.12003,16.951841
"23006",NA,51.13428,17.013927
"120852",NA,51.119984,17.056366
"23724",NA,51.152054,17.070484
"11727",NA,51.091286,16.986727
"16506",NA,51.065598,16.988127
"29102",NA,51.14478,17.102388
"12712",NA,51.131621,16.975887
"20352",NA,51.09736,17.036156
"21107",NA,51.0776,17.03388
"21132",NA,51.077126,17.039455
"20302",NA,51.107693,17.044489
"25132",NA,51.06894,17.09402
"24503",NA,51.104366,17.083612
"9-OBORNIC",NA,51.148567,17.02213
"17520",NA,51.110256,16.879898
"18013",NA,51.13754,16.939364
"23017",NA,51.14462,17.03107
"11614",NA,51.084435,16.972124
"120610",NA,51.1243,17.034971
"18513",NA,51.16419,16.918968
"20718",NA,51.127934,17.036377
"12738",NA,51.13745,16.968817
"11242",NA,51.072445,17.013273
"12321",NA,51.128494,16.975693
"17129",NA,51.07208,16.958597
"121005",NA,51.093292,17.036787
"26325",NA,51.066555,17.010365
"23514",NA,51.188293,16.979332
"12707",NA,51.140648,16.958225
"23112",NA,51.135693,17.016346
"23170",NA,51.14813,17.042711
"17314",NA,51.107246,16.94998
"12318",NA,51.125328,16.983583
"24103",NA,51.139065,17.0799
"11252",NA,51.08657,17.01159
"23524",NA,51.15424,17.028654
"24532",NA,51.109135,17.071812
"26309",NA,51.05084,17.030287
"16525",NA,51.068817,17.009424
"24511",NA,51.106293,17.094007
"11365",NA,51.073833,17.012577
"21012",NA,51.0865,17.046688
"11531",NA,51.09691,17.01353
"11454",NA,51.08953,17.000835
"11205",NA,51.091026,17.017437
"24316",NA,51.113785,17.103659
"24410",NA,51.10392,17.090271
"12511",NA,51.123207,16.974852
"17704",NA,51.123047,16.925077
"23127",NA,51.148815,17.030018
"17710",NA,51.12718,16.901148
"20614",NA,51.119553,17.035166
"18127",NA,51.155754,16.891005
"20854",NA,51.11585,17.060717
"17125",NA,51.07658,16.97799
"17708",NA,51.126114,16.909365
"29535",NA,51.165646,17.106169
"20905",NA,51.116932,17.047348
"25011",NA,51.079872,17.080595
"16516",NA,51.074966,16.997005
"24305",NA,51.12766,17.07846
"11357",NA,51.07308,17.01212
"21009",NA,51.088417,17.045591
"24306",NA,51.124054,17.07788
"12540",NA,51.130455,16.96617
"23542",NA,51.156063,17.031316
"16501",NA,51.071877,17.00067
"11377",NA,51.07295,17.013527
"21145",NA,51.082855,17.05087
"120665",NA,51.12385,17.042324
"120206",NA,51.0963,17.056494
"21110",NA,51.075516,17.033134
"25121",NA,51.07035,17.091747
"10103",NA,51.11148,17.02726
"21162",NA,51.084118,17.062483
"24518",NA,51.10549,17.111448
"16521",NA,51.06966,17.012178
"120821",NA,51.110287,17.055845
"20662",NA,51.122093,17.030836
"20814",NA,51.11341,17.054024
"120204",NA,51.102237,17.0517835
"120823",NA,51.11172,17.06048
"110223",NA,51.10046,17.036028
"21171",NA,51.08299,17.043043
"111403",NA,51.099365,17.000372
"23523",NA,51.15473,17.028804
"18114",NA,51.141026,16.912829
"11307",NA,51.07522,17.006413
"23001",NA,51.133175,17.025759
"20782",NA,51.124054,17.03029
"10651",NA,51.117233,17.025908
"21019",NA,51.07992,17.062677
